url_original,path_original,status_http,titulo_detectado,tipo_crawl,tipo_plan,url_destino_sugerida,confianza,motivo,prioridad_revision,accion_sugerida,nota
https://artiani.com.mx/producto/Transportadora-mid-mediana-azul/MID-02,/producto/Transportadora-mid-mediana-azul/MID-02,200,"Producto - Transportadora mid mediana azul",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-mid-mediana-gris-/MID-01,/producto/Transportadora-mid-mediana-gris-/MID-01,200,"Producto - Transportadora mid mediana gris",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Vitamina-A-para-tortuga-/VITA-30,/producto/Vitamina-A-para-tortuga-/VITA-30,200,"Producto - Vitamina A para tortuga",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
"https://artiani.com.mx/producto/categoria/accesorios,-entrenamiento,-sujetadores-para-gato","/producto/categoria/accesorios,-entrenamiento,-sujetadores-para-gato",200,"Categoria - Accesorios,-entrenamiento,-sujetadores-para-gato",categoria_legacy,categoria,/categoria/acuario-y-peces/repuestos-aditamentos-y-accesorios/repuestos-para-peceras,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
"https://artiani.com.mx/producto/categoria/accesorios,-entrenamiento,-sujetadores-para-perro","/producto/categoria/accesorios,-entrenamiento,-sujetadores-para-perro",200,"Categoria - Accesorios,-entrenamiento,-sujetadores-para-perro",categoria_legacy,categoria,/categoria/acuario-y-peces/repuestos-aditamentos-y-accesorios/repuestos-para-peceras,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/accesorios_y_aditamentos_para_hamster,/producto/categoria/accesorios_y_aditamentos_para_hamster,200,"Categoria - Accesorios y aditamentos para hamster",categoria_legacy,categoria,/categoria/acuario-y-peces/repuestos-aditamentos-y-accesorios/repuestos-para-peceras,baja,tokens_compartidos_3,media,revisar_manual,url_indexable_sin_equivalencia_confiable
"https://artiani.com.mx/producto/categoria/acuarios,-nano,-micro-y-megas-con-y-sin-mueble-para-peces-","/producto/categoria/acuarios,-nano,-micro-y-megas-con-y-sin-mueble-para-peces-",200,"Categoria - Acuarios,-nano,-micro-y-megas-con-y-sin-mueble-para-peces-",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/aditamentos-y-accesorios-para-tortugas,/producto/categoria/aditamentos-y-accesorios-para-tortugas,200,"Categoria - Aditamentos-y-accesorios-para-tortugas",categoria_legacy,categoria,/categoria/acuario-y-peces/repuestos-aditamentos-y-accesorios/repuestos-para-peceras,baja,tokens_compartidos_3,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentacion_para_hamsters,/producto/categoria/alimentacion_para_hamsters,200,"Categoria - Alimentacion para hamsters",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento-para-gatos,/producto/categoria/alimento-para-gatos,200,"Categoria - Alimento-para-gatos",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_1,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento-para-perros-,/producto/categoria/alimento-para-perros-,200,"Categoria - Alimento-para-perros-",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_1,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento-y-alimentadores-para-colibri,/producto/categoria/alimento-y-alimentadores-para-colibri,200,"Categoria - Alimento-y-alimentadores-para-colibri",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentadores,baja,tokens_compartidos_1,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento-y-alimentadores-para-conejos,/producto/categoria/alimento-y-alimentadores-para-conejos,200,"Categoria - Alimento-y-alimentadores-para-conejos",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentadores,baja,tokens_compartidos_1,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento-y-alimentadores-para-cuyo,/producto/categoria/alimento-y-alimentadores-para-cuyo,200,"Categoria - Alimento-y-alimentadores-para-cuyo",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentadores,baja,tokens_compartidos_1,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento-y-alimentadores-para-erizo,/producto/categoria/alimento-y-alimentadores-para-erizo,200,"Categoria - Alimento-y-alimentadores-para-erizo",categoria_legacy,categoria,/categoria/pequenos-mamiferos/erizo/alimentacion/alimento-vivo-y-deshidratado,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimento_para_tortugas,/producto/categoria/alimento_para_tortugas,200,"Categoria - Alimento para tortugas",categoria_legacy,categoria,/categoria/reptiles-y-tortugas/iguanas/alimentos-para-iguana,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-de-acuario,/producto/categoria/alimentos-de-acuario,200,"Categoria - Alimentos-de-acuario",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-de-acuario,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-para-aves,/producto/categoria/alimentos-para-aves,200,"Categoria - Alimentos-para-aves",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-para-iguana,/producto/categoria/alimentos-para-iguana,200,"Categoria - Alimentos-para-iguana",categoria_legacy,categoria,/categoria/reptiles-y-tortugas/iguanas/alimentos-para-iguana,baja,tokens_compartidos_3,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-para-mamiferos-roedores,/producto/categoria/alimentos-para-mamiferos-roedores,200,"Categoria - Alimentos-para-mamiferos-roedores",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-para-pez-betta,/producto/categoria/alimentos-para-pez-betta,200,"Categoria - Alimentos-para-pez-betta",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_3,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-vivos,/producto/categoria/alimentos-vivos,200,"Categoria - Alimentos-vivos",categoria_legacy,categoria,/categoria/reptiles-y-tortugas/reptiles-generales/alimentos-vivos,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos-y-aditamentos-para-pajaros,/producto/categoria/alimentos-y-aditamentos-para-pajaros,200,"Categoria - Alimentos-y-aditamentos-para-pajaros",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos_para_peces,/producto/categoria/alimentos_para_peces,200,"Categoria - Alimentos para peces",categoria_legacy,categoria,/categoria/acuario-y-peces/alimentacion/alimentos-para-betta,baja,tokens_compartidos_3,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/alimentos_para_reptiles,/producto/categoria/alimentos_para_reptiles,200,"Categoria - Alimentos para reptiles",categoria_legacy,categoria,/categoria/reptiles-y-tortugas/iguanas/alimentos-para-iguana,baja,tokens_compartidos_3,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/antipulgas-para-perros-y-gatos,/producto/categoria/antipulgas-para-perros-y-gatos,200,"Categoria - Antipulgas-para-perros-y-gatos",categoria_legacy,categoria,/categoria/perros/salud-e-higiene/antipulgas-y-control-externo,baja,tokens_compartidos_2,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/categoria/areneros,/producto/categoria/areneros,200,"Categoria - Areneros",categoria_legacy,categoria,/categoria/gatos/salud-e-higiene/areneros,baja,tokens_compartidos_1,media,revisar_manual,url_indexable_sin_equivalencia_confiable
